words	freq
Rhodanese(s)	2
RibD_C	2
Ribosomal_S4+S4	2
SIG+Acetyltransf_1	2
SIG+cNMP_binding+HTH_Crp_2	2
SIG+HTH_11+WYL	2
SIG+Nramp+TM	2
SIG+Peptidase_M1	2
SIG+Peptidase_S9_N+Peptidase_S9	2
SIG+PPK2	2
SIG+SBP_bac_8	2
SIG+Sortilin-Vps10(s)+FlgD_ig	2
SIG+TM+AAA+Peptidase_M41	2
SIG+Toast-rack	2
SurE	2
TM(s)+PEMT	2
TM+Rhomboid	2
TM+SSF+TM(s)	2
Toast-rack(s)*	2
tRNA-synt_1b+S4	2
UPF0060	2
URO-D	2
YTCD-HTH	2
AAA_26	1
AAA_3	1
AAA_31	1
Abhydrolase_2	1
Acetyltransf_1	1
Aconitase+HC2	1
AhpC-TSA+1-cysPrx_C	1
AHSA1	1
AIM24	1
AIRC	1
Aminotran_1_2	1
Aminotran_4	1
Arg_tRNA_synt_N+tRNA-synt_1d+DALR_1	1
ATP-cone	1
ATP-grasp	1
B3_4	1
Bac_GDH	1
Bax1-I	1
CarD_CdnL_TRCF	1
CbiQ	1
CCG(s)	1
Cluster1104_2clades	1
Cluster1581_2clades	1
COesterase	1
Cons_hypoth698+TM	1
COX1+TM	1
CTP_transf_like	1
Cys_Met_Meta_PP	1
Cytidylate_kin	1
DIOX_N+2OG-FeII_Oxy	1
DNA_ligase_A_N+DNA_ligase_A_M+DNA_ligase_A_C	1
DNA_ligase_aden+DNA_ligase_OB+DNA_ligase_ZBD+HHH_2+BRCT	1
DNA_photolyase+FAD_binding_7	1
DPPIV_N+Peptidase_S9	1
DUF1700-alpha-helical+ZetaToxin+Toast-rack*	1
DUF2071	1
DUF2089-HTH+Toast-rack*	1
DUF2252	1
DUF2461	1
DUF488	1
DUF5131	1
EamA+TM+EamA	1
Endonuclease_5	1
EPSP_synthase	1
Fe_dep_repress+Fe_dep_repr_C+FeoA	1
Fer2_3+Fer2_2	1
Fer4_9	1
FGGY_N+FGGY_C	1
Flavoprotein+DFP	1
GFA	1
GIDA+GIDA_assoc	1
Glyco_hydro_3+Glyco_hydro_3_C+Fn3-like	1
Glyco_transf_5+Glycos_transf_1	1
GTP_EFTU+GTP_EFTU_D2+EFG_C	1
HATPase_c_3+DNA_mis_repair+MutL_C	1
HD_4+RelA_SpoT+TGS+ACT_4	1
HhH-GPD	1
HhH-GPD+EndIII_4Fe-2S	1
HHH_8+HHH_5(s)+DNA_pol_B_palm+DNA_pol_B_thumb+PHP	1
HI0933_like	1
His_biosynth	1
Hist_deacetyl	1
HSP33	1
HTH_20	1
Iso_dh	1
Lactamase_B+Flavodoxin_1+Flavin_Reduct+Rubredoxin	1
Ldh_1_N+Ldh_1_C	1
LiaI-LiaF-TM+Toast-rack+PspA*	1
LUD_dom+Fer4_8+DUF3390	1
Lyase_1+ADSL_C	1
Lyase_1+ASL_C2	1
Maf	1
MerR+MerR_1	1
Meth_synt_1+Meth_synt_2	1
Methyltrans_SAM	1
Molybdop_Fe4S4+Molybdopterin+Molydop_binding	1
MscL	1
MTHFR	1
Na_H_Exchanger	1
NAD_binding_10	1
NifU_N	1
NTP_transferase	1
NTP_transferase+Fucokinase	1
NTP_transferase+MannoseP_isomer	1
OTCace_N+OTCace	1
ParBc	1
PDH	1
PDT	1
Peptidase_M17_N+Peptidase_M17	1
Peptidase_M20	1
PfkB	1
PGK	1
PhnA_Zn_Ribbon+PhnA	1
PhyH	1
PNTB	1
PNTB_4TM	1
polyprenyl_synt	1
Pribosyltran	1
Pro_CA	1
Pro_isomerase	1
PTA_PTB	1
Pterin_4a	1
Put_DNA-bind_N+CoA_binding	1
Radical_SAM+BATS	1
RecG_wedge+DEAD+Helicase_C	1
Response_reg+PAS_9+HisKA+HATPase_c	1
Response_reg+Pyr_redox_2	1
Ribosomal_S15	1
Rubrerythrin	1
RuvX	1
Sacchrp_dh_NADP	1
Semialdhyde_dh+Semialdhyde_dhC	1
SIG+Abhydrolase_3	1
SIG+Amino_oxidase	1
SIG+ASH-IG+Toast-rack+TPR(s)+CASPASE*	1
SIG+Beta-Helix+Toast-rack+CASPASE*	1
SIG+CDP-OH_P_transf+TM(s)	1
SIG+DoxX+TM	1
SIG+DsbD+TM(s)+Thioredoxin_7	1
SIG+DUF2268	1
SIG+DUF4015	1
SIG+DUF885	1
SIG+EAL	1
SIG+GDSL	1
SIG+GFO_IDH_MocA	1
SIG+Glyco_hydro_2_N+Glyco_hydro_2+Glyco_hydro_2_C	1
SIG+HSP20	1
SIG+Methyltransf_11	1
SIG+Peptidase_S15+PepX_C	1
SIG+SBP_bac_11	1
SIG+SelR	1
SIG+Serpin	1
SIG+Sigma70_r2+Sigma70_r4_2+TPR_2	1
SIG+TM(s)+Proton_antipo_M+TM(s)	1
SIG+TM+bPH_2	1
SIG+TM+Proton_antipo_N+Proton_antipo_M+TM(s)	1
SIG+TM+Toast-rack*	1
SIG+Toast-rack(s)+CASPASE*	1
SIG+tRNA-synt_His+HGTP_anticodon	1
SIG+tRNA_U5-meth_tr	1
SIG+YceG	1
Sigma70_r1_2+Sigma70_r2+Sigma70_r3+Sigma70_r4	1
TauE	1
TerD+vWA-TerF-like	1
TetR_N	1
Thr_synth_N+PALP	1
TM(s)+BPD_transp_1	1
Toast-rack+DUF2089-HTH*	1
Toast-rack+TM*	1
TP_methylase	1
Transposase_mut	1
tRNA_edit	1
UDG	1
UPF0014	1
Urocanase	1
UvrD-helicase+UvrD_C	1
YceI	1
YCII	1
YoeB_toxin	1
