AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
ANO25094.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	BAB79_17475	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein BAB79_17475 [Mycobacterium abscessus]	1041048056 
BAP97847.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	MMASJCM_3071	Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300	bacteria>actinobacteria	possible conserved membrane alanine rich protein [Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300]	731178210
AIJ22592.1	SIG+TM+TM	SIG+TM+TM	-	299	AMETH_2500	Amycolatopsis methanolica 239	bacteria>actinobacteria	hypothetical protein AMETH_2500 [Amycolatopsis methanolica 239]	672356714
CAJ64359.1	-	-	-	299	FRAAL5727	Frankia alni ACN14a	bacteria>actinobacteria	hypothetical protein FRAAL5727 [Frankia alni ACN14a]	111152618
BAD58702.1	SIG+TM+TM	SIG+TM+TM	-	296	NFA_38540	Nocardia farcinica IFM 10152	bacteria>actinobacteria	hypothetical protein NFA_38540 [Nocardia farcinica IFM 10152]	54017332
ANA99028.1	TM+TM	TM+TM	Cyt_bd_oxida_II	294	BB28_15465	Mycobacterium chelonae CCUG 47445	bacteria>actinobacteria	membrane protein [Mycobacterium chelonae CCUG 47445]	1023046886 
AEF40146.1	SIG+TM	SIG+TM	-	293	AS9A_1697	Hoyosella subflava DQS3-9A1	bacteria>actinobacteria	Putative conserved membrane alanine rich protein [Hoyosella subflava DQS3-9A1]	333481586
AFU03975.1	SIG+TM+TM	SIG+TM+TM	-	292	O3I_030130	Nocardia brasiliensis ATCC 700358	bacteria>actinobacteria	hypothetical protein O3I_030130 [Nocardia brasiliensis ATCC 700358]	407310074
AOW92431.1	SIG+TM+TM	SIG+TM+TM	-	292	BFN03_06150	Rhodococcus sp. WMMA185	bacteria>actinobacteria	hypothetical protein BFN03_06150 [Rhodococcus sp. WMMA185]	1082341851 
CCF64495.1	TM+TM	TM+TM	-	291	NOCYR_3732	Nocardia cyriacigeorgica GUH-2	bacteria>actinobacteria	conserved protein of unknown function [Nocardia cyriacigeorgica GUH-2]	374847425
AJW39334.1	TM+TM	TM+TM	-	289	NY08_1304	Rhodococcus sp. B7740	bacteria>actinobacteria	conserved membrane alanine rich protein [Rhodococcus sp. B7740]	769528232
AMY25017.1	TM+TM	TM+TM	-	289	A3Q41_03731	Rhodococcus sp. PBTS 2	bacteria>actinobacteria	hypothetical protein A3Q41_03731 [Rhodococcus sp. PBTS 2]	1017214971 
AMY55841.1	TM+TM	TM+TM	-	289	A3L23_04538	Rhodococcus fascians D188	bacteria>actinobacteria	hypothetical protein A3L23_04538 [Rhodococcus fascians D188]	1018280012 
ADP79207.1	TM+TM	TM+TM	-	286	FraEuI1c_1134	Frankia inefficax	bacteria>actinobacteria	hypothetical protein FraEuI1c_1134 [Frankia inefficax]	311226352
CRY73261.1	SIG+TM+TM	SIG+TM+TM	-	285	ERS450000_00045	Nocardia farcinica	bacteria>actinobacteria	Uncharacterised protein [Nocardia farcinica]	873548211
ABG08235.1	TM+TM	TM+TM	-	283	Mmcs_2127	Mycobacterium sp. MCS	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium sp. MCS]	108769513
ABL91371.1	TM+TM	TM+TM	-	283	Mkms_2173	Mycobacterium sp. KMS	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium sp. KMS]	119694298
ABN97900.1	TM+TM	TM+TM	-	283	Mjls_2114	Mycobacterium sp. JLS	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium sp. JLS]	126234500
AQA24756.1	SIG+TM+TM	SIG+TM+TM	-	283	BTZ20_2439	Rhodococcus sp. MTM3W5.2	bacteria>actinobacteria	hypothetical protein BTZ20_2439 [Rhodococcus sp. MTM3W5.2]	1140140223 
AGT92381.1	TM+TM	TM+TM	-	281	O5Y_12600	Rhodococcus erythropolis CCM2595	bacteria>actinobacteria	hypothetical protein O5Y_12600 [Rhodococcus erythropolis CCM2595]	532222348
BAH33451.1	TM+TM	TM+TM	-	281	RER_27430	Rhodococcus erythropolis PR4	bacteria>actinobacteria	hypothetical protein RER_27430 [Rhodococcus erythropolis PR4]	226185347
AHC25230.1	SIG+TM	SIG+TM	Zip	279	D174_11795	Mycobacterium neoaurum VKM Ac-1815D	bacteria>actinobacteria	membrane protein [Mycobacterium neoaurum VKM Ac-1815D]	565685370
AMO05722.1	SIG+TM	SIG+TM	Zip	279	MyAD_11575	Mycobacterium sp. NRRL B-3805	bacteria>actinobacteria	membrane protein [Mycobacterium sp. NRRL B-3805]	1003100409 
ABK75765.1	SIG+TM	SIG+TM	-	278	MSMEG_2696	Mycobacterium smegmatis str. MC2 155	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium smegmatis str. MC2 155]	118174869
AFP39098.1	SIG+TM	SIG+TM	-	278	MSMEI_2630	Mycobacterium smegmatis str. MC2 155	bacteria>actinobacteria	Putative conserved membrane alanine rich protein [Mycobacterium smegmatis str. MC2 155]	399231605
AIU07866.1	SIG+TM	SIG+TM	-	278	LJ00_13410	Mycobacterium smegmatis str. MC2 155	bacteria>actinobacteria	membrane protein [Mycobacterium smegmatis str. MC2 155]	698941104
AIU14491.1	SIG+TM	SIG+TM	-	278	LI99_13415	Mycobacterium smegmatis	bacteria>actinobacteria	membrane protein [Mycobacterium smegmatis]	698950297
AIU21114.1	SIG+TM	SIG+TM	-	278	LI98_13420	Mycobacterium smegmatis	bacteria>actinobacteria	membrane protein [Mycobacterium smegmatis]	698958579
BAH54991.1	SIG+TM+TM	SIG+TM+TM	-	278	ROP_67440	Rhodococcus opacus B4	bacteria>actinobacteria	hypothetical membrane protein [Rhodococcus opacus B4]	226244643
CKH69207.1	SIG+TM	SIG+TM	-	278	ERS451418_02702	Mycobacterium smegmatis	bacteria>actinobacteria	membrane alanine rich protein [Mycobacterium smegmatis]	777216776
ABG98530.1	SIG+TM+TM	SIG+TM+TM	-	276	RHA1_ro06758	Rhodococcus jostii RHA1	bacteria>actinobacteria	conserved hypothetical protein [Rhodococcus jostii RHA1]	110823246
AKK27233.1	SIG+TM	SIG+TM	-	276	AB431_11685	Mycobacterium sp. EPa45	bacteria>actinobacteria	membrane protein [Mycobacterium sp. EPa45]	828181998
APE15535.1	SIG+TM	SIG+TM	-	276	BOH72_10260	Mycobacterium sp. WY10	bacteria>actinobacteria	hypothetical protein BOH72_10260 [Mycobacterium sp. WY10]	1108523880 
AIC71845.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	MYCMA_07260	Mycobacterium abscessus subsp. bolletii str. GO 06	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. bolletii str. GO 06]	649944952
AMU23808.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	A3N95_14380	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3N95_14380 [Mycobacterium abscessus]	1014140119 
AMU48512.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	A3O00_15380	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O00_15380 [Mycobacterium abscessus]	1014190005 
AMU53542.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	A3O01_15310	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O01_15310 [Mycobacterium abscessus]	1014200963 
AMU58498.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	A3O02_15330	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O02_15330 [Mycobacterium abscessus]	1014210770 
AMU73026.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	A3O05_14190	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O05_14190 [Mycobacterium abscessus]	1014896866 
AMW20579.1	TM+TM	TM+TM	Cyt_bd_oxida_II	275	Chelonae_p2828	Mycobacterium sp. QIA-37	bacteria>actinobacteria	membrane protein [Mycobacterium sp. QIA-37]	1015672847 
ANO12215.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	BAB76_15320	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein BAB76_15320 [Mycobacterium abscessus]	1041035173 
ANO21946.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	BAB78_15610	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein BAB78_15610 [Mycobacterium abscessus]	1041044907 
CAM63144.1	SIG+TM+TM	SIG+TM+TM	Cyt_bd_oxida_II	275	MAB_3066c	Mycobacterium abscessus ATCC 19977	bacteria>actinobacteria	Conserved hypothetical protein [Mycobacterium abscessus ATCC 19977]	169242116
CCH34176.1	TM+TM	TM+TM	-	275	BN6_69400	Saccharothrix espanaensis DSM 44229	bacteria>actinobacteria	hypothetical protein BN6_69400 [Saccharothrix espanaensis DSM 44229]	407886533
AKS34774.1	SIG+TM	SIG+TM	-	274	AFA91_26000	Mycobacterium goodii	bacteria>actinobacteria	membrane protein [Mycobacterium goodii]	906355139
ANE81077.1	SIG+TM	SIG+TM	-	274	A7U43_18895	Mycobacterium sp. YC-RL4	bacteria>actinobacteria	hypothetical protein A7U43_18895 [Mycobacterium sp. YC-RL4]	1028500567 
ANI39456.1	TM+TM	TM+TM	-	274	MYVA_2273	Mycobacterium vaccae 95051	bacteria>actinobacteria	membrane protein [Mycobacterium vaccae 95051]	1034246421 
AGB22865.1	SIG+TM	SIG+TM	-	273	Mycsm_02530	Mycobacterium sp. JS623	bacteria>actinobacteria	hypothetical protein Mycsm_02530 [Mycobacterium sp. JS623]	433297045
ANZ42953.1	TM+TM	TM+TM	-	273	BBK82_22790	Lentzea guizhouensis	bacteria>actinobacteria	hypothetical protein BBK82_22790 [Lentzea guizhouensis]	1050306594 
ABM13213.1	SIG+TM	SIG+TM	-	272	Mvan_2399	Mycobacterium vanbaalenii PYR-1	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium vanbaalenii PYR-1]	119956208
AEV76091.1	SIG+TM	SIG+TM	-	272	MycrhN_5623	Mycobacterium rhodesiae NBB3	bacteria>actinobacteria	hypothetical protein MycrhN_5623 [Mycobacterium rhodesiae NBB3]	359823278
AIY46303.1	SIG+TM	SIG+TM	-	272	G155_12720	Mycobacterium sp. VKM Ac-1817D	bacteria>actinobacteria	Alanine-rich, phage-related, membrane protein [Mycobacterium sp. VKM Ac-1817D]	725871070
AKN17546.1	SIG+TM+TM	SIG+TM+TM	-	272	B586_14745	Mycobacterium haemophilum DSM 44634	bacteria>actinobacteria	hypothetical protein B586_14745 [Mycobacterium haemophilum DSM 44634]	846149101
ALI26456.1	SIG+TM	SIG+TM	-	272	XA26_26130	Mycobacterium fortuitum	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium fortuitum]	937420457
ANW64388.1	TM+TM	TM+TM	-	272	BCA37_12980	Mycobacterium sp. djl-10	bacteria>actinobacteria	hypothetical protein BCA37_12980 [Mycobacterium sp. djl-10]	1047840627 
ABP46457.1	SIG+TM	SIG+TM	-	271	Mflv_3986	Mycobacterium gilvum PYR-GCK	bacteria>actinobacteria	putative conserved membrane alanine rich protein [Mycobacterium gilvum PYR-GCK]	145217053
ACC40422.1	SIG+TM	SIG+TM	-	271	MMAR_1972	Mycobacterium marinum M	bacteria>actinobacteria	conserved hypothetical membrane protein [Mycobacterium marinum M]	183175312
ADT99942.1	SIG+TM	SIG+TM	-	271	Mspyr1_33310	Mycobacterium gilvum Spyr1	bacteria>actinobacteria	hypothetical protein Mspyr1_33310 [Mycobacterium gilvum Spyr1]	315263201
AFM16881.1	SIG+TM	SIG+TM	-	271	Mycch_2098	Mycobacterium chubuense NBB4	bacteria>actinobacteria	hypothetical protein Mycch_2098 [Mycobacterium chubuense NBB4]	390615731
AGC62026.1	SIG+TM	SIG+TM	-	271	MULP_02138	Mycobacterium liflandii 128FXT	bacteria>actinobacteria	hypothetical protein MULP_02138 [Mycobacterium liflandii 128FXT]	442582883
AGZ53230.1	SIG+TM	SIG+TM	-	271	MKAN_25170	Mycobacterium kansasii ATCC 12478	bacteria>actinobacteria	membrane protein [Mycobacterium kansasii ATCC 12478]	556026019
AIR20999.1	SIG+TM	SIG+TM	-	271	LG40_24925	Mycobacterium kansasii 662	bacteria>actinobacteria	membrane protein [Mycobacterium kansasii 662]	690323372
AIR30574.1	SIG+TM	SIG+TM	-	271	LH54_25055	Mycobacterium kansasii 824	bacteria>actinobacteria	membrane protein [Mycobacterium kansasii 824]	690334906
CDM76043.1	SIG+TM	SIG+TM	-	271	MMARE11_18960	Mycobacterium marinum E11	bacteria>actinobacteria	conserved hypothetical membrane protein [Mycobacterium marinum E11]	641305045
AAK47134.1	TM+TM	TM+TM	-	270	MT2814	Mycobacterium tuberculosis CDC1551	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium tuberculosis CDC1551]	13882576
ABQ74546.1	TM+TM	TM+TM	-	270	MRA_2769	Mycobacterium tuberculosis H37Ra	bacteria>actinobacteria	putative conserved alanine rich transmembrane protein [Mycobacterium tuberculosis H37Ra]	148506737
ABR07083.1	TM+TM	TM+TM	-	270	TBFG_12756	Mycobacterium tuberculosis F11	bacteria>actinobacteria	conserved alanine rich transmembrane protein [Mycobacterium tuberculosis F11]	148722458
ACT24281.1	TM+TM	TM+TM	-	270	TBMG_01232	Mycobacterium tuberculosis KZN 1435	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium tuberculosis KZN 1435]	253319678
AEB03371.1	TM+TM	TM+TM	-	270	TBSG_01242	Mycobacterium tuberculosis KZN 4207	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium tuberculosis KZN 4207]	328457948
AEJ47707.1	TM+TM	TM+TM	-	270	CCDC5079_2517	Mycobacterium tuberculosis CCDC5079	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium tuberculosis CCDC5079]	339295596
AEJ51324.1	TM+TM	TM+TM	-	270	CCDC5180_2487	Mycobacterium tuberculosis CCDC5180	bacteria>actinobacteria	hypothetical protein CCDC5180_2487 [Mycobacterium tuberculosis CCDC5180]	339299214
AEN01202.1	TM+TM	TM+TM	-	270	MTCTRI2_2796	Mycobacterium tuberculosis CTRI-2	bacteria>actinobacteria	hypothetical protein MTCTRI2_2796 [Mycobacterium tuberculosis CTRI-2]	344220571
AET20026.1	TM+TM	TM+TM	-	270	BCGMEX_2752c	Mycobacterium bovis BCG str. Mexico	bacteria>actinobacteria	Putative membrane alanine rich protein [Mycobacterium bovis BCG str. Mexico]	356594797
AFE13899.1	TM+TM	TM+TM	-	270	MRGA423_17040	Mycobacterium tuberculosis RGTB423	bacteria>actinobacteria	hypothetical protein MRGA423_17040 [Mycobacterium tuberculosis RGTB423]	380726104
AFE17567.1	TM+TM	TM+TM	-	270	MRGA327_16830	Mycobacterium tuberculosis RGTB327	bacteria>actinobacteria	hypothetical protein MRGA327_16830 [Mycobacterium tuberculosis RGTB327]	380722458
AFM48618.1	TM+TM	TM+TM	-	270	TBXG_001222	Mycobacterium tuberculosis KZN 605	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium tuberculosis KZN 605]	392053060
AFN50717.1	TM+TM	TM+TM	-	270	RVBD_2743c	Mycobacterium tuberculosis H37Rv	bacteria>actinobacteria	alanine rich transmembrane protein [Mycobacterium tuberculosis H37Rv]	395139558
AGE68748.1	TM+TM	TM+TM	-	270	K60_028380	Mycobacterium bovis BCG str. Korea 1168P	bacteria>actinobacteria	hypothetical protein K60_028380 [Mycobacterium bovis BCG str. Korea 1168P]	449033321
AGL24323.1	TM+TM	TM+TM	-	270	I917_19245	Mycobacterium tuberculosis str. Haarlem/NITR202	bacteria>actinobacteria	hypothetical protein I917_19245 [Mycobacterium tuberculosis str. Haarlem/NITR202]	492062316
AGL32233.1	TM+TM	TM+TM	-	270	J114_14640	Mycobacterium tuberculosis EAI5/NITR206	bacteria>actinobacteria	hypothetical protein J114_14640 [Mycobacterium tuberculosis EAI5/NITR206]	492076161
AGM01329.1	TM+TM	TM+TM	-	270	CFBS_2896	Mycobacterium tuberculosis CCDC5079	bacteria>actinobacteria	putative alanine rich transmembrane protein [Mycobacterium tuberculosis CCDC5079]	505811382
AGQ35975.1	TM+TM	TM+TM	-	270	M943_14175	Mycobacterium tuberculosis EAI5	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis EAI5]	523438267
AHJ43540.1	TM+TM	TM+TM	-	270	HKBS1_2894	Mycobacterium tuberculosis HKBS1	bacteria>actinobacteria	putative alanine rich transmembrane protein [Mycobacterium tuberculosis HKBS1]	585502529
AHJ47687.1	TM+TM	TM+TM	-	270	HKBT2_2890	Mycobacterium tuberculosis BT2	bacteria>actinobacteria	putative alanine rich transmembrane protein [Mycobacterium tuberculosis BT2]	585516947
AHJ51833.1	TM+TM	TM+TM	-	270	HKBT1_2887	Mycobacterium tuberculosis BT1	bacteria>actinobacteria	putative alanine rich transmembrane protein [Mycobacterium tuberculosis BT1]	585531618
AHJ55982.1	TM+TM	TM+TM	-	270	CFBR_2897	Mycobacterium tuberculosis CCDC5180	bacteria>actinobacteria	putative alanine rich transmembrane protein [Mycobacterium tuberculosis CCDC5180]	585542443
AHM08494.1	TM+TM	TM+TM	-	270	BCGT_2575	Mycobacterium bovis BCG str. ATCC 35743	bacteria>actinobacteria	hypothetical protein BCGT_2575 [Mycobacterium bovis BCG str. ATCC 35743]	594545991
AIB49441.1	TM+TM	TM+TM	-	270	MTBK_28970	Mycobacterium tuberculosis K	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis K]	646276761
AID05802.1	TM+TM	TM+TM	-	270	ER17_14535	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	655546451
AII91334.1	TM+TM	TM+TM	-	270	IZ84_14645	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	671747593
AII95250.1	TM+TM	TM+TM	-	270	JE53_14630	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	671751510
AIQ05390.1	TM+TM	TM+TM	-	270	LJ70_14835	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	686573994
AIQ09408.1	TM+TM	TM+TM	-	270	LJ80_15000	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	686578014
AIR15515.1	TM+TM	TM+TM	-	270	LH57_15005	Mycobacterium tuberculosis H37Rv	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis H37Rv]	690313484
AIR47960.1	TM+TM	TM+TM	-	270	LH58_14575	Mycobacterium bovis	bacteria>actinobacteria	membrane protein [Mycobacterium bovis]	690297390
AJF04106.1	TM+TM	TM+TM	-	270	Y980_2743c	Mycobacterium tuberculosis H37RvSiena	bacteria>actinobacteria	putative conserved transmembrane alanine rich protein [Mycobacterium tuberculosis H37RvSiena]	749195827
AJW51385.1	TM+TM	TM+TM	-	270	UB21_14550	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	769541287
AKO25793.1	TM+TM	TM+TM	-	270	GS11_2867	Mycobacterium bovis BCG	bacteria>actinobacteria	hypothetical protein GS11_2867 [Mycobacterium bovis BCG]	857100133
AKR02576.1	TM+TM	TM+TM	-	270	Mb1595_p3053	Mycobacterium bovis	bacteria>actinobacteria	membrane protein [Mycobacterium bovis]	893681680
ALA79293.1	TM+TM	TM+TM	-	270	BCGR_2976	Mycobacterium bovis BCG	bacteria>actinobacteria	putative membrane protein [Mycobacterium bovis BCG]	922678496
ALB19944.1	TM+TM	TM+TM	-	270	AFL40_2844	Mycobacterium tuberculosis	bacteria>actinobacteria	Hypothetical protein AFL40_2844 [Mycobacterium tuberculosis]	923108661
ALV13089.1	TM+TM	TM+TM	-	270	BOVR_14175	Mycobacterium bovis	bacteria>actinobacteria	hypothetical protein BOVR_14175 [Mycobacterium bovis]	971175347
AMC42966.1	TM+TM	TM+TM	-	270	RN03_3008	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984948866
AMC47195.1	TM+TM	TM+TM	-	270	RN05_2919	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984953096
