Species.orig	Species.q
Photorhabdus luminescens subsp. laumondii TTO1	Photorhabdus laumondii subsp. laumondii TTO1
Marinobacterium sp. ST58-10	Marinobacterium aestuarii
Desulfatibacillum alkenivorans AK-01	Desulfatibacillum aliphaticivorans
Comamonas testosteroni CNB-2	Comamonas thiooxydans
Burkholderia sp. RPE64	Burkholderia insecticola
Burkholderia sp. CCGE1002	Paraburkholderia sp. CCGE1002
Desulfovibrio aespoeensis Aspo-2	Pseudodesulfovibrio aespoeensis Aspo-2
Dickeya solani	Dickeya fangzhongdai
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	Desulfovibrio desulfuricans ATCC 27774
Desulfotomaculum gibsoniae DSM 7213	Desulfallas gibsoniae DSM 7213
Desulfovibrio indicus	Pseudodesulfovibrio indicus
Melainabacteria sp. 35_41	Candidatus Melainabacteria bacterium 35_41
Comamonadaceae bacterium B1	Serpentinomonas mccroryi
Borrelia burgdorferi B31	Borreliella burgdorferi B31
Xanthomonas axonopodis pv. citri str. 306	Xanthomonas citri pv. citri str. 306
Vibrio fischeri ES114	Aliivibrio fischeri ES114
Thiomicrospira crunogena XCL-2	Hydrogenovibrio crunogenus XCL-2
Borrelia burgdorferi N40	Borreliella burgdorferi N40
Borrelia burgdorferi JD1	Borreliella burgdorferi JD1
Borrelia garinii BgVir	Borreliella garinii BgVir
Thioalkalimicrobium aerophilum AL3	Thiomicrospira aerophila AL3
Mesorhizobium sp. B7	Mesorhizobium oceanicum
Borrelia burgdorferi ZS7	Borreliella burgdorferi ZS7
Borrelia afzelii PKo	Borreliella afzelii PKo
Borrelia garinii NMJW1	Borreliella garinii NMJW1
Borrelia afzelii HLJ01	Borreliella afzelii HLJ01
Borrelia burgdorferi CA382	Borreliella burgdorferi CA382
Borrelia garinii SZ	Borreliella garinii SZ
Borrelia afzelii Tom3107	Borreliella afzelii Tom3107
Borrelia afzelii K78	Borreliella afzelii K78
Ruegeria mobilis F1926	Epibacterium mobile F1926
Comamonadaceae bacterium A1	Serpentinomonas raichei
Rhizobium etli	Rhizobium esperanzae
Mesorhizobium loti MAFF303099	Mesorhizobium japonicum MAFF 303099
candidate division WOR_1 bacterium DG_54_3	candidate division WOR-1 bacterium DG_54_3
Ralstonia eutropha JMP134	Cupriavidus pinatubonensis JMP134
Methylobacterium extorquens AM1	Methylorubrum extorquens AM1
Dechlorosoma suillum PS	Azospira oryzae PS
Rhodoferax sp. DCY110	Rhodoferax koreense
Ralstonia eutropha H16	Cupriavidus necator H16
Enterobacter lignolyticus SCF1	[Enterobacter] lignolyticus SCF1
Desulfotomaculum kuznetsovii DSM 6115	Desulfofundulus kuznetsovii DSM 6115
Enterobacter asburiae LF7a	Enterobacter soli
Enterobacter hormaechei subsp. oharae	Enterobacter hormaechei subsp. xiangfangensis
Yersinia pestis	NA
Kluyvera intermedia	Phytobacter ursingii
Enterobacter cloacae complex sp. 35734	Enterobacter roggenkampii
Enterobacter lignolyticus	[Enterobacter] lignolyticus
Enterobacter xiangfangensis	Enterobacter hormaechei subsp. xiangfangensis
Hydrogenophaga sp. LPB0072	Hydrogenophaga crassostreae
Hafnia alvei	Hafnia paralvei
Thiobacimonas profunda	Salipiger profundus
Desulfotomaculum acetoxidans DSM 771	Desulfofarcimen acetoxidans DSM 771
[Clostridium] propionicum DSM 1682	Anaerotignum propionicum DSM 1682
Parageobacillus thermoglucosidans	Parageobacillus thermoglucosidasius
Ruminiclostridium thermocellum ATCC 27405	Hungateiclostridium thermocellum ATCC 27405
Ruminiclostridium thermocellum DSM 1313	Hungateiclostridium thermocellum DSM 1313
[Clostridium] stercorarium subsp. stercorarium DSM 8532	Thermoclostridium stercorarium subsp. stercorarium DSM 8532
Ruminiclostridium thermocellum AD2	Hungateiclostridium thermocellum AD2
Ruminiclostridium thermocellum DSM 2360	Hungateiclostridium thermocellum DSM 2360
[Clostridium] stercorarium subsp. thermolacticum DSM 2910	Thermoclostridium stercorarium subsp. thermolacticum DSM 2910
[Clostridium] stercorarium subsp. leptospartum DSM 9219	Thermoclostridium stercorarium subsp. leptospartum DSM 9219
Bacillus sp. 1NLA3E	NA
Flavisolibacter sp. LCS9	Flavisolibacter tropicus
Candidatus Kapabacteria sp. 59-99	'Candidatus Kapabacteria' thiocyanatum
Gramella sp. LPB0144	Gramella salexigens
Flavobacterium johnsoniae	Flavobacterium anhuiense
Flavobacterium communis	Flavobacterium commune
Paenibacillus durus	NA
Nematostella vectensis	starlet sea anemone
Strongylocentrotus purpuratus	purple sea urchin
Arabidopsis thaliana	thale cress
Solanum tuberosum	potato
Glycine max	soybean
Anabaena variabilis ATCC 29413	Trichormus variabilis ATCC 29413
Cyanothece sp. PCC 7822	Gloeothece verrucosa PCC 7822
Cyanothece sp. PCC 7424	Gloeothece citriformis PCC 7424
Cyanothece sp. ATCC 51142	Crocosphaera subtropica ATCC 51142
Cyanothece sp. PCC 8802	Rippkaea orientalis PCC 8802
Synechococcus sp. Tous	Synechococcus lacustris str. Tous
Sorangium cellulosum So0157-2	NA
Nicotiana tabacum	common tobacco
Beggiatoa leptomitiformis	Beggiatoa leptomitoformis
Chloroflexus sp. Y-400-fl	Chloroflexus aurantiacus Y-400-fl
Bacillus infantis NRRL B-14911	NA
Homo sapiens	human
Drosophila melanogaster	fruit fly
Mus musculus	house mouse
Macaca fascicularis	crab-eating macaque
Cutaneotrichosporon oleaginosus	Cutaneotrichosporon oleaginosum
Acyrthosiphon pisum	pea aphid
Schmidtea mediterranea	NA
Kluyveromyces lactis NRRL Y-1140	Kluyveromyces lactis
Culex quinquefasciatus	southern house mosquito
Coemansia reversa	NA
Phytophthora ramorum	NA
Daphnia pulex	common water flea
Bombyx mori	domestic silkworm
Limulus polyphemus	Atlantic horseshoe crab
Branchiostoma floridae	Florida lancelet
Apis mellifera	honey bee
Harpegnathos saltator	Jerdon's jumping ant
Tribolium castaneum	red flour beetle
Backusella circina	NA
Chondrus crispus	carragheen
Cochliobolus heterostrophus	NA
Strigamia maritima	NA
Lottia gigantea	owl limpet
Crassostrea gigas	Pacific oyster
Lichtheimia hyalospora	NA
Nomascus leucogenys	northern white-cheeked gibbon
Ciona intestinalis	vase tunicate
Capitella spI	NA
Danio rerio	zebrafish
Tetraodon nigroviridis	spotted green pufferfish
Gallus gallus	chicken
Xenopus laevis	African clawed frog
Ictalurus punctatus	channel catfish
Umbelopsis ramanniana	NA
Takifugu rubripes	torafugu
Ixodes scapularis	black-legged tick
Schizosaccharomyces pombe 972h-	fission yeast
Bigelowiella natans	NA
Polysphondylium pallidum PN500	Heterostelium album PN500
Piromyces sp	NA
Theileria equi	Theileria equi strain WA
Plasmodium vivax Sal-1	malaria parasite P. vivax
Gordonia bronchialis DSM 43247	NA
Halobiforma lacisalsi AJ5	NA
Methanosaeta concilii GP6	Methanothrix soehngenii GP6
Methanosaeta thermophila PT	Methanothrix thermoacetophila PT
Microbulbifer sp. CCB-MM1	Microbulbifer aggregans
uncultured marine group II euryarchaeote	uncultured Candidatus Poseidoniales archaeon
Sphingobium sp. YBL2	NA
Carnobacterium sp. 17-4	NA
Acinetobacter sp. ADP1	Acinetobacter baylyi ADP1
Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. jonggajibkimchii
Leuconostoc mesenteroides subsp. suionicum	Leuconostoc suionicum
Bifidobacterium kashiwanohense JCM 15439 = DSM 21854	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854
Dictyoglomus thermophilum H-6-12	NA
Coxiella-like endosymbiont	Candidatus Coxiella mudrowiae
Rhodococcus jostii RHA1	NA
Bacteroides helcogenes P 36-108	NA
Flavobacterium sp. PK15	Flavobacterium commune
Muricauda lutaonensis	NA
Lacinutrix venerupis	NA
Paenibacillus sp. Y412MC10	NA
Opitutus terrae PB90-1	NA
Paenibacillus mucilaginosus KNP414	NA
candidate division Hyd24-12 bacterium Ran_1	Candidatus Fermentibacter daniensis
candidate division Hyd24-12 bacterium Dam_1	Candidatus Fermentibacter daniensis
candidate division Hyd24-12 bacterium Vib_1	Candidatus Fermentibacter daniensis
Sulfolobus tokodaii str. 7	Sulfurisphaera tokodaii str. 7
Mahella australiensis 50-1 BON	NA
Parabacteroides sp. YL27	Muribaculum intestinale
Conexibacter woesei DSM 14684	NA
Thioalkalimicrobium cyclicum ALM1	Thiomicrospira cyclica ALM1
